仰角,Month,Day,Hour,Minute
13.99,11,24,7,20
16.04,11,24,7,30
18.04,11,24,7,40
20.01,11,24,7,50
21.93,11,24,8,0
23.8,11,24,8,10
25.62,11,24,8,20
27.37,11,24,8,30
29.06,11,24,8,40
30.69,11,24,8,50
32.24,11,24,9,0
33.72,11,24,9,10
35.11,11,24,9,20
36.43,11,24,9,30
37.66,11,24,9,40
38.81,11,24,9,50
39.86,11,24,10,0
40.82,11,24,10,10
41.69,11,24,10,20
42.46,11,24,10,30
43.13,11,24,10,40
43.7,11,24,10,50
44.16,11,24,11,0
44.53,11,24,11,10
44.79,11,24,11,20
44.95,11,24,11,30
45.0,11,24,11,40
44.95,11,24,11,50
44.79,11,24,12,0
44.53,11,24,12,10
44.16,11,24,12,20
43.7,11,24,12,30
43.13,11,24,12,40
42.46,11,24,12,50
41.69,11,24,13,0
40.82,11,24,13,10
39.86,11,24,13,20
38.81,11,24,13,30
37.66,11,24,13,40
36.43,11,24,13,50
35.11,11,24,14,0
33.72,11,24,14,10
32.24,11,24,14,20
30.69,11,24,14,30
29.06,11,24,14,40
27.37,11,24,14,50
25.62,11,24,15,0
23.8,11,24,15,10
21.93,11,24,15,20
20.01,11,24,15,30
18.04,11,24,15,40
16.04,11,24,15,50
13.99,11,24,16,0
11.91,11,24,16,10
9.8,11,24,16,20
7.67,11,24,16,30
5.52,11,24,16,40
3.36,11,24,16,50
1.19,11,24,17,0
0.0,11,24,17,10
0.0,11,24,17,20
0.0,11,24,17,30
0.0,11,24,17,40
0.0,11,24,17,50
0.0,11,24,18,0
0.0,11,24,18,10
0.0,11,24,18,20
0.0,11,24,18,30
0.0,11,24,18,40
0.0,11,24,18,50
0.0,11,24,19,0
0.0,11,23,5,0
0.0,11,23,5,10
0.0,11,23,5,20
0.0,11,23,5,30
0.0,11,23,5,40
0.0,11,23,5,50
0.0,11,23,6,0
0.0,11,23,6,10
1.33,11,23,6,20
3.54,11,23,6,30
5.75,11,23,6,40
7.94,11,23,6,50
10.11,11,23,7,0
12.26,11,23,7,10
14.38,11,23,7,20
16.47,11,23,7,30
18.52,11,23,7,40
20.53,11,23,7,50
22.49,11,23,8,0
24.39,11,23,8,10
26.24,11,23,8,20
28.03,11,23,8,30
29.76,11,23,8,40
31.41,11,23,8,50
32.99,11,23,9,0
34.5,11,23,9,10
35.92,11,23,9,20
37.27,11,23,9,30
38.52,11,23,9,40
39.69,11,23,9,50
40.76,11,23,10,0
41.74,11,23,10,10
42.62,11,23,10,20
43.41,11,23,10,30
44.09,11,23,10,40
44.67,11,23,10,50
45.15,11,23,11,0
45.52,11,23,11,10
45.79,11,23,11,20
45.95,11,23,11,30
46.0,11,23,11,40
45.95,11,23,11,50
45.79,11,23,12,0
45.52,11,23,12,10
45.15,11,23,12,20
44.67,11,23,12,30
44.09,11,23,12,40
43.41,11,23,12,50
42.62,11,23,13,0
41.74,11,23,13,10
40.76,11,23,13,20
39.69,11,23,13,30
38.52,11,23,13,40
37.27,11,23,13,50
35.92,11,23,14,0
34.5,11,23,14,10
32.99,11,23,14,20
31.41,11,23,14,30
29.76,11,23,14,40
28.03,11,23,14,50
26.24,11,23,15,0
24.39,11,23,15,10
22.49,11,23,15,20
20.53,11,23,15,30
18.52,11,23,15,40
16.47,11,23,15,50
14.38,11,23,16,0
12.26,11,23,16,10
10.11,11,23,16,20
7.94,11,23,16,30
5.75,11,23,16,40
3.54,11,23,16,50
1.33,11,23,17,0
0.0,11,23,17,10
0.0,11,23,17,20
0.0,11,23,17,30
0.0,11,23,17,40
0.0,11,23,17,50
0.0,11,23,18,0
0.0,11,23,18,10
0.0,11,23,18,20
0.0,11,23,18,30
0.0,11,23,18,40
0.0,11,23,18,50
0.0,11,23,19,0
0.0,11,22,5,0
0.0,11,22,5,10
0.0,11,22,5,20
0.0,11,22,5,30
0.0,11,22,5,40
0.0,11,22,5,50
0.0,11,22,6,0
0.0,11,22,6,10
1.44,11,22,6,20
3.65,11,22,6,30
5.85,11,22,6,40
8.04,11,22,6,50
10.21,11,22,7,0
12.35,11,22,7,10
14.47,11,22,7,20
16.55,11,22,7,30
18.6,11,22,7,40
20.6,11,22,7,50
22.55,11,22,8,0
24.45,11,22,8,10
26.3,11,22,8,20
28.08,11,22,8,30
29.8,11,22,8,40
31.45,11,22,8,50
33.03,11,22,9,0
34.53,11,22,9,10
35.95,11,22,9,20
37.29,11,22,9,30
38.54,11,22,9,40
39.71,11,22,9,50
40.78,11,22,10,0
41.75,11,22,10,10
42.63,11,22,10,20
43.42,11,22,10,30
44.1,11,22,10,40
44.68,11,22,10,50
45.15,11,22,11,0
45.52,11,22,11,10
45.79,11,22,11,20
45.95,11,22,11,30
46.0,11,22,11,40
45.95,11,22,11,50
45.79,11,22,12,0
45.52,11,22,12,10
45.15,11,22,12,20
44.68,11,22,12,30
44.1,11,22,12,40
43.42,11,22,12,50
42.63,11,22,13,0
41.75,11,22,13,10
40.78,11,22,13,20
39.71,11,22,13,30
38.54,11,22,13,40
37.29,11,22,13,50
35.95,11,22,14,0
34.53,11,22,14,10
33.03,11,22,14,20
31.45,11,22,14,30
29.8,11,22,14,40
28.08,11,22,14,50
26.3,11,22,15,0
24.45,11,22,15,10
22.55,11,22,15,20
20.6,11,22,15,30
18.6,11,22,15,40
16.55,11,22,15,50
14.47,11,22,16,0
12.35,11,22,16,10
10.21,11,22,16,20
8.04,11,22,16,30
5.85,11,22,16,40
3.65,11,22,16,50
1.44,11,22,17,0
0.0,11,22,17,10
0.0,11,22,17,20
0.0,11,22,17,30
0.0,11,22,17,40
0.0,11,22,17,50
0.0,11,22,18,0
0.0,11,22,18,10
0.0,11,22,18,20
0.0,11,22,18,30
0.0,11,22,18,40
0.0,11,22,18,50
0.0,11,22,19,0
0.0,11,21,5,0
0.0,11,21,5,10
0.0,11,21,5,20
0.0,11,21,5,30
0.0,11,21,5,40
0.0,11,21,5,50
0.0,11,21,6,0
0.0,11,21,6,10
1.66,11,21,6,20
3.87,11,21,6,30
6.07,11,21,6,40
8.25,11,21,6,50
10.42,11,21,7,0
12.56,11,21,7,10
14.68,11,21,7,20
16.76,11,21,7,30
18.8,11,21,7,40
20.79,11,21,7,50
22.74,11,21,8,0
24.64,11,21,8,10
26.48,11,21,8,20
28.26,11,21,8,30
29.97,11,21,8,40
31.61,11,21,8,50
33.19,11,21,9,0
34.68,11,21,9,10
36.09,11,21,9,20
37.42,11,21,9,30
38.66,11,21,9,40
39.82,11,21,9,50
40.88,11,21,10,0
41.85,11,21,10,10
42.72,11,21,10,20
43.49,11,21,10,30
44.16,11,21,10,40
44.73,11,21,10,50
45.19,11,21,11,0
45.55,11,21,11,10
45.81,11,21,11,20
45.96,11,21,11,30
46.0,11,21,11,40
45.94,11,21,11,50
45.77,11,21,12,0
45.49,11,21,12,10
45.11,11,21,12,20
44.62,11,21,12,30
44.03,11,21,12,40
43.34,11,21,12,50
42.55,11,21,13,0
41.66,11,21,13,10
40.68,11,21,13,20
39.6,11,21,13,30
38.42,11,21,13,40
37.16,11,21,13,50
35.82,11,21,14,0
34.39,11,21,14,10
32.88,11,21,14,20
31.29,11,21,14,30
29.63,11,21,14,40
27.91,11,21,14,50
26.12,11,21,15,0
24.27,11,21,15,10
22.36,11,21,15,20
20.4,11,21,15,30
18.39,11,21,15,40
16.34,11,21,15,50
14.26,11,21,16,0
12.14,11,21,16,10
9.99,11,21,16,20
7.82,11,21,16,30
5.63,11,21,16,40
3.43,11,21,16,50
1.22,11,21,17,0
0.0,11,21,17,10
0.0,11,21,17,20
0.0,11,21,17,30
0.0,11,21,17,40
0.0,11,21,17,50
0.0,11,21,18,0
0.0,11,21,18,10
0.0,11,21,18,20
0.0,11,21,18,30
0.0,11,21,18,40
0.0,11,21,18,50
0.0,11,21,19,0
0.0,11,20,5,0
0.0,11,20,5,10
0.0,11,20,5,20
0.0,11,20,5,30
0.0,11,20,5,40
0.0,11,20,5,50
0.0,11,20,6,0
0.0,11,20,6,10
1.77,11,20,6,20
3.97,11,20,6,30
6.17,11,20,6,40
8.35,11,20,6,50
10.51,11,20,7,0
12.65,11,20,7,10
14.76,11,20,7,20
16.84,11,20,7,30
18.87,11,20,7,40
20.86,11,20,7,50
22.81,11,20,8,0
24.7,11,20,8,10
26.54,11,20,8,20
28.31,11,20,8,30
30.02,11,20,8,40
31.66,11,20,8,50
33.22,11,20,9,0
34.71,11,20,9,10
36.12,11,20,9,20
37.45,11,20,9,30
38.69,11,20,9,40
39.84,11,20,9,50
40.9,11,20,10,0
41.86,11,20,10,10
42.73,11,20,10,20
43.5,11,20,10,30
44.16,11,20,10,40
44.73,11,20,10,50
45.2,11,20,11,0
45.55,11,20,11,10
45.81,11,20,11,20
45.96,11,20,11,30
46.0,11,20,11,40
45.94,11,20,11,50
45.77,11,20,12,0
45.49,11,20,12,10
45.11,11,20,12,20
44.63,11,20,12,30
44.04,11,20,12,40
43.35,11,20,12,50
42.56,11,20,13,0
41.67,11,20,13,10
40.69,11,20,13,20
39.61,11,20,13,30
38.45,11,20,13,40
37.19,11,20,13,50
35.85,11,20,14,0
34.42,11,20,14,10
32.92,11,20,14,20
31.33,11,20,14,30
29.68,11,20,14,40
27.96,11,20,14,50
26.17,11,20,15,0
24.33,11,20,15,10
22.42,11,20,15,20
20.47,11,20,15,30
18.47,11,20,15,40
16.42,11,20,15,50
14.34,11,20,16,0
12.23,11,20,16,10
10.08,11,20,16,20
7.92,11,20,16,30
5.73,11,20,16,40
3.53,11,20,16,50
1.33,11,20,17,0
0.0,11,20,17,10
0.0,11,20,17,20
0.0,11,20,17,30
0.0,11,20,17,40
0.0,11,20,17,50
0.0,11,20,18,0
0.0,11,20,18,10
0.0,11,20,18,20
0.0,11,20,18,30
0.0,11,20,18,40
0.0,11,20,18,50
0.0,11,20,19,0
0.0,11,19,5,0
0.0,11,19,5,10
0.0,11,19,5,20
0.0,11,19,5,30
0.0,11,19,5,40
0.0,11,19,5,50
0.0,11,19,6,0
0.0,11,19,6,10
1.87,11,19,6,20
4.08,11,19,6,30
6.27,11,19,6,40
8.45,11,19,6,50
10.6,11,19,7,0
12.74,11,19,7,10
14.84,11,19,7,20
16.91,11,19,7,30
18.94,11,19,7,40
20.93,11,19,7,50
22.87,11,19,8,0
24.76,11,19,8,10
26.59,11,19,8,20
28.36,11,19,8,30
30.06,11,19,8,40
31.7,11,19,8,50
33.26,11,19,9,0
34.74,11,19,9,10
36.15,11,19,9,20
37.47,11,19,9,30
38.71,11,19,9,40
39.86,11,19,9,50
40.91,11,19,10,0
41.87,11,19,10,10
42.74,11,19,10,20
43.5,11,19,10,30
44.17,11,19,10,40
44.74,11,19,10,50
45.2,11,19,11,0
45.56,11,19,11,10
45.81,11,19,11,20
45.96,11,19,11,30
46.0,11,19,11,40
45.94,11,19,11,50
45.77,11,19,12,0
45.49,11,19,12,10
45.11,11,19,12,20
44.63,11,19,12,30
44.05,11,19,12,40
43.36,11,19,12,50
42.57,11,19,13,0
41.69,11,19,13,10
40.71,11,19,13,20
39.63,11,19,13,30
38.47,11,19,13,40
37.21,11,19,13,50
35.88,11,19,14,0
34.45,11,19,14,10
32.95,11,19,14,20
31.38,11,19,14,30
29.73,11,19,14,40
28.01,11,19,14,50
26.23,11,19,15,0
24.39,11,19,15,10
22.49,11,19,15,20
20.54,11,19,15,30
18.54,11,19,15,40
16.5,11,19,15,50
14.42,11,19,16,0
12.31,11,19,16,10
10.17,11,19,16,20
8.01,11,19,16,30
5.83,11,19,16,40
3.64,11,19,16,50
1.43,11,19,17,0
0.0,11,19,17,10
0.0,11,19,17,20
0.0,11,19,17,30
0.0,11,19,17,40
0.0,11,19,17,50
0.0,11,19,18,0
0.0,11,19,18,10
0.0,11,19,18,20
0.0,11,19,18,30
0.0,11,19,18,40
0.0,11,19,18,50
0.0,11,19,19,0
0.0,11,18,5,0
0.0,11,18,5,10
0.0,11,18,5,20
0.0,11,18,5,30
0.0,11,18,5,40
0.0,11,18,5,50
0.0,11,18,6,0
0.0,11,18,6,10
2.03,11,18,6,20
4.27,11,18,6,30
6.51,11,18,6,40
8.73,11,18,6,50
10.93,11,18,7,0
13.1,11,18,7,10
15.25,11,18,7,20
17.36,11,18,7,30
19.43,11,18,7,40
21.46,11,18,7,50
23.43,11,18,8,0
25.36,11,18,8,10
27.22,11,18,8,20
29.03,11,18,8,30
30.76,11,18,8,40
32.43,11,18,8,50
34.02,11,18,9,0
35.53,11,18,9,10
36.97,11,18,9,20
38.31,11,18,9,30
39.57,11,18,9,40
40.74,11,18,9,50
41.82,11,18,10,0
42.8,11,18,10,10
43.68,11,18,10,20
44.46,11,18,10,30
45.14,11,18,10,40
45.71,11,18,10,50
46.18,11,18,11,0
46.55,11,18,11,10
46.81,11,18,11,20
46.96,11,18,11,30
47.0,11,18,11,40
46.93,11,18,11,50
46.76,11,18,12,0
46.48,11,18,12,10
46.1,11,18,12,20
45.61,11,18,12,30
45.01,11,18,12,40
44.31,11,18,12,50
43.51,11,18,13,0
42.61,11,18,13,10
41.61,11,18,13,20
40.51,11,18,13,30
39.33,11,18,13,40
38.05,11,18,13,50
36.69,11,18,14,0
35.24,11,18,14,10
33.71,11,18,14,20
32.1,11,18,14,30
30.42,11,18,14,40
28.67,11,18,14,50
26.86,11,18,15,0
24.98,11,18,15,10
23.04,11,18,15,20
21.06,11,18,15,30
19.02,11,18,15,40
16.94,11,18,15,50
14.82,11,18,16,0
12.67,11,18,16,10
10.49,11,18,16,20
8.28,11,18,16,30
6.06,11,18,16,40
3.82,11,18,16,50
1.58,11,18,17,0
0.0,11,18,17,10
0.0,11,18,17,20
0.0,11,18,17,30
0.0,11,18,17,40
0.0,11,18,17,50
0.0,11,18,18,0
0.0,11,18,18,10
0.0,11,18,18,20
0.0,11,18,18,30
0.0,11,18,18,40
0.0,11,18,18,50
0.0,11,18,19,0
0.0,11,17,5,0
0.0,11,17,5,10
0.0,11,17,5,20
0.0,11,17,5,30
0.0,11,17,5,40
0.0,11,17,5,50
0.0,11,17,6,0
0.0,11,17,6,10
2.13,11,17,6,20
4.38,11,17,6,30
6.61,11,17,6,40
8.82,11,17,6,50
11.02,11,17,7,0
13.19,11,17,7,10
15.33,11,17,7,20
17.44,11,17,7,30
19.51,11,17,7,40
21.53,11,17,7,50
23.5,11,17,8,0
25.42,11,17,8,10
27.28,11,17,8,20
29.08,11,17,8,30
30.81,11,17,8,40
32.47,11,17,8,50
34.06,11,17,9,0
35.57,11,17,9,10
36.99,11,17,9,20
38.34,11,17,9,30
39.59,11,17,9,40
40.76,11,17,9,50
41.83,11,17,10,0
42.81,11,17,10,10
43.69,11,17,10,20
44.46,11,17,10,30
45.14,11,17,10,40
45.72,11,17,10,50
46.19,11,17,11,0
46.55,11,17,11,10
46.81,11,17,11,20
46.96,11,17,11,30
47.0,11,17,11,40
46.93,11,17,11,50
46.76,11,17,12,0
46.48,11,17,12,10
46.1,11,17,12,20
45.61,11,17,12,30
45.01,11,17,12,40
44.32,11,17,12,50
43.52,11,17,13,0
42.62,11,17,13,10
41.62,11,17,13,20
40.53,11,17,13,30
39.35,11,17,13,40
38.08,11,17,13,50
36.72,11,17,14,0
35.27,11,17,14,10
33.75,11,17,14,20
32.14,11,17,14,30
30.47,11,17,14,40
28.72,11,17,14,50
26.91,11,17,15,0
25.04,11,17,15,10
23.11,11,17,15,20
21.13,11,17,15,30
19.1,11,17,15,40
17.02,11,17,15,50
14.91,11,17,16,0
12.76,11,17,16,10
10.58,11,17,16,20
8.38,11,17,16,30
6.16,11,17,16,40
3.93,11,17,16,50
1.69,11,17,17,0
0.0,11,17,17,10
0.0,11,17,17,20
0.0,11,17,17,30
0.0,11,17,17,40
0.0,11,17,17,50
0.0,11,17,18,0
0.0,11,17,18,10
0.0,11,17,18,20
0.0,11,17,18,30
0.0,11,17,18,40
0.0,11,17,18,50
0.0,11,17,19,0
0.0,11,16,5,0
0.0,11,16,5,10
0.0,11,16,5,20
0.0,11,16,5,30
0.0,11,16,5,40
0.0,11,16,5,50
0.0,11,16,6,0
0.22,11,16,6,10
2.47,11,16,6,20
4.7,11,16,6,30
6.93,11,16,6,40
9.14,11,16,6,50
11.33,11,16,7,0
13.5,11,16,7,10
15.63,11,16,7,20
17.73,11,16,7,30
19.78,11,16,7,40
21.8,11,16,7,50
23.76,11,16,8,0
25.67,11,16,8,10
27.52,11,16,8,20
29.3,11,16,8,30
31.02,11,16,8,40
32.67,11,16,8,50
34.25,11,16,9,0
35.75,11,16,9,10
37.16,11,16,9,20
38.49,11,16,9,30
39.74,11,16,9,40
40.89,11,16,9,50
41.95,11,16,10,0
42.91,11,16,10,10
43.78,11,16,10,20
44.54,11,16,10,30
45.21,11,16,10,40
45.77,11,16,10,50
46.23,11,16,11,0
46.58,11,16,11,10
46.83,11,16,11,20
46.97,11,16,11,30
47.0,11,16,11,40
46.92,11,16,11,50
46.74,11,16,12,0
46.45,11,16,12,10
46.06,11,16,12,20
45.56,11,16,12,30
44.96,11,16,12,40
44.25,11,16,12,50
43.44,11,16,13,0
42.54,11,16,13,10
41.54,11,16,13,20
40.44,11,16,13,30
39.25,11,16,13,40
37.97,11,16,13,50
36.61,11,16,14,0
35.16,11,16,14,10
33.63,11,16,14,20
32.02,11,16,14,30
30.34,11,16,14,40
28.6,11,16,14,50
26.78,11,16,15,0
24.91,11,16,15,10
22.98,11,16,15,20
21.0,11,16,15,30
18.97,11,16,15,40
16.89,11,16,15,50
14.78,11,16,16,0
12.63,11,16,16,10
10.46,11,16,16,20
8.26,11,16,16,30
6.04,11,16,16,40
3.81,11,16,16,50
1.57,11,16,17,0
0.0,11,16,17,10
0.0,11,16,17,20
0.0,11,16,17,30
0.0,11,16,17,40
0.0,11,16,17,50
0.0,11,16,18,0
0.0,11,16,18,10
0.0,11,16,18,20
0.0,11,16,18,30
0.0,11,16,18,40
0.0,11,16,18,50
0.0,11,16,19,0
0.0,11,15,5,0
0.0,11,15,5,10
0.0,11,15,5,20
0.0,11,15,5,30
0.0,11,15,5,40
0.0,11,15,5,50
0.0,11,15,6,0
0.34,11,15,6,10
2.58,11,15,6,20
4.81,11,15,6,30
7.03,11,15,6,40
9.24,11,15,6,50
11.42,11,15,7,0
13.58,11,15,7,10
15.71,11,15,7,20
17.8,11,15,7,30
19.86,11,15,7,40
21.86,11,15,7,50
23.82,11,15,8,0
25.73,11,15,8,10
27.57,11,15,8,20
29.35,11,15,8,30
31.07,11,15,8,40
32.72,11,15,8,50
34.29,11,15,9,0
35.78,11,15,9,10
37.19,11,15,9,20
38.52,11,15,9,30
39.76,11,15,9,40
40.91,11,15,9,50
41.96,11,15,10,0
42.92,11,15,10,10
43.79,11,15,10,20
44.55,11,15,10,30
45.21,11,15,10,40
45.77,11,15,10,50
46.23,11,15,11,0
46.58,11,15,11,10
46.83,11,15,11,20
46.97,11,15,11,30
47.0,11,15,11,40
46.92,11,15,11,50
46.74,11,15,12,0
46.45,11,15,12,10
46.06,11,15,12,20
45.56,11,15,12,30
44.96,11,15,12,40
44.26,11,15,12,50
43.45,11,15,13,0
42.55,11,15,13,10
41.55,11,15,13,20
40.46,11,15,13,30
39.27,11,15,13,40
38.0,11,15,13,50
36.64,11,15,14,0
35.19,11,15,14,10
33.67,11,15,14,20
32.07,11,15,14,30
30.39,11,15,14,40
28.65,11,15,14,50
26.84,11,15,15,0
24.97,11,15,15,10
23.05,11,15,15,20
21.07,11,15,15,30
19.04,11,15,15,40
16.97,11,15,15,50
14.86,11,15,16,0
12.72,11,15,16,10
10.55,11,15,16,20
8.36,11,15,16,30
6.14,11,15,16,40
3.92,11,15,16,50
1.68,11,15,17,0
0.0,11,15,17,10
0.0,11,15,17,20
0.0,11,15,17,30
0.0,11,15,17,40
0.0,11,15,17,50
0.0,11,15,18,0
0.0,11,15,18,10
0.0,11,15,18,20
0.0,11,15,18,30
0.0,11,15,18,40
0.0,11,15,18,50
0.0,11,15,19,0
0.0,11,14,5,0
0.0,11,14,5,10
0.0,11,14,5,20
0.0,11,14,5,30
0.0,11,14,5,40
0.0,11,14,5,50
0.0,11,14,6,0
0.46,11,14,6,10
2.74,11,14,6,20
5.02,11,14,6,30
7.28,11,14,6,40
9.53,11,14,6,50
11.76,11,14,7,0
13.96,11,14,7,10
16.13,11,14,7,20
18.26,11,14,7,30
20.35,11,14,7,40
22.4,11,14,7,50
24.39,11,14,8,0
26.33,11,14,8,10
28.21,11,14,8,20
30.03,11,14,8,30
31.78,11,14,8,40
33.45,11,14,8,50
35.05,11,14,9,0
36.57,11,14,9,10
38.01,11,14,9,20
39.36,11,14,9,30
40.63,11,14,9,40
41.8,11,14,9,50
42.87,11,14,10,0
43.85,11,14,10,10
44.73,11,14,10,20
45.51,11,14,10,30
46.18,11,14,10,40
46.75,11,14,10,50
47.22,11,14,11,0
47.57,11,14,11,10
47.82,11,14,11,20
47.97,11,14,11,30
48.0,11,14,11,40
47.92,11,14,11,50
47.74,11,14,12,0
47.44,11,14,12,10
47.04,11,14,12,20
46.54,11,14,12,30
45.92,11,14,12,40
45.21,11,14,12,50
44.39,11,14,13,0
43.47,11,14,13,10
42.45,11,14,13,20
41.34,11,14,13,30
40.13,11,14,13,40
38.83,11,14,13,50
37.45,11,14,14,0
35.98,11,14,14,10
34.42,11,14,14,20
32.79,11,14,14,30
31.09,11,14,14,40
29.31,11,14,14,50
27.47,11,14,15,0
25.57,11,14,15,10
23.6,11,14,15,20
21.59,11,14,15,30
19.52,11,14,15,40
17.41,11,14,15,50
15.27,11,14,16,0
13.08,11,14,16,10
10.87,11,14,16,20
8.63,11,14,16,30
6.38,11,14,16,40
4.11,11,14,16,50
1.83,11,14,17,0
0.0,11,14,17,10
0.0,11,14,17,20
0.0,11,14,17,30
0.0,11,14,17,40
0.0,11,14,17,50
0.0,11,14,18,0
0.0,11,14,18,10
0.0,11,14,18,20
0.0,11,14,18,30
0.0,11,14,18,40
0.0,11,14,18,50
0.0,11,14,19,0
0.0,11,13,5,0
0.0,11,13,5,10
0.0,11,13,5,20
0.0,11,13,5,30
0.0,11,13,5,40
0.0,11,13,5,50
0.0,11,13,6,0
0.57,11,13,6,10
2.85,11,13,6,20
5.12,11,13,6,30
7.38,11,13,6,40
9.63,11,13,6,50
11.85,11,13,7,0
14.05,11,13,7,10
16.21,11,13,7,20
18.34,11,13,7,30
20.43,11,13,7,40
22.47,11,13,7,50
24.46,11,13,8,0
26.39,11,13,8,10
28.27,11,13,8,20
30.08,11,13,8,30
31.82,11,13,8,40
33.49,11,13,8,50
35.09,11,13,9,0
36.61,11,13,9,10
38.04,11,13,9,20
39.39,11,13,9,30
40.65,11,13,9,40
41.81,11,13,9,50
42.89,11,13,10,0
43.86,11,13,10,10
44.74,11,13,10,20
45.51,11,13,10,30
46.19,11,13,10,40
46.76,11,13,10,50
47.22,11,13,11,0
47.58,11,13,11,10
47.82,11,13,11,20
47.97,11,13,11,30
48.0,11,13,11,40
47.92,11,13,11,50
47.74,11,13,12,0
47.45,11,13,12,10
47.05,11,13,12,20
46.54,11,13,12,30
45.93,11,13,12,40
45.22,11,13,12,50
44.4,11,13,13,0
43.48,11,13,13,10
42.47,11,13,13,20
41.36,11,13,13,30
40.15,11,13,13,40
38.86,11,13,13,50
37.48,11,13,14,0
36.01,11,13,14,10
34.46,11,13,14,20
32.83,11,13,14,30
31.13,11,13,14,40
29.36,11,13,14,50
27.53,11,13,15,0
25.63,11,13,15,10
23.67,11,13,15,20
21.66,11,13,15,30
19.6,11,13,15,40
17.5,11,13,15,50
15.35,11,13,16,0
13.17,11,13,16,10
10.97,11,13,16,20
8.73,11,13,16,30
6.48,11,13,16,40
4.22,11,13,16,50
1.94,11,13,17,0
0.0,11,13,17,10
0.0,11,13,17,20
0.0,11,13,17,30
0.0,11,13,17,40
0.0,11,13,17,50
0.0,11,13,18,0
0.0,11,13,18,10
0.0,11,13,18,20
0.0,11,13,18,30
0.0,11,13,18,40
0.0,11,13,18,50
0.0,11,13,19,0
0.0,11,12,5,0
0.0,11,12,5,10
0.0,11,12,5,20
0.0,11,12,5,30
0.0,11,12,5,40
0.0,11,12,5,50
0.0,11,12,6,0
0.68,11,12,6,10
2.96,11,12,6,20
5.23,11,12,6,30
7.49,11,12,6,40
9.73,11,12,6,50
11.95,11,12,7,0
14.14,11,12,7,10
16.3,11,12,7,20
18.42,11,12,7,30
20.5,11,12,7,40
22.54,11,12,7,50
24.52,11,12,8,0
26.45,11,12,8,10
28.32,11,12,8,20
30.13,11,12,8,30
31.87,11,12,8,40
33.54,11,12,8,50
35.13,11,12,9,0
36.64,11,12,9,10
38.07,11,12,9,20
39.41,11,12,9,30
40.67,11,12,9,40
41.83,11,12,9,50
42.9,11,12,10,0
43.87,11,12,10,10
44.75,11,12,10,20
45.52,11,12,10,30
46.19,11,12,10,40
46.76,11,12,10,50
47.22,11,12,11,0
47.58,11,12,11,10
47.82,11,12,11,20
47.97,11,12,11,30
48.0,11,12,11,40
47.92,11,12,11,50
47.74,11,12,12,0
47.45,11,12,12,10
47.05,11,12,12,20
46.55,11,12,12,30
45.94,11,12,12,40
45.23,11,12,12,50
44.41,11,12,13,0
43.5,11,12,13,10
42.49,11,12,13,20
41.38,11,12,13,30
40.18,11,12,13,40
38.89,11,12,13,50
37.51,11,12,14,0
36.04,11,12,14,10
34.5,11,12,14,20
32.88,11,12,14,30
